1,10229_1.jpg,1024,683,497,1404113754,巴厘岛海滩,Bali beach,印度尼西亚,巴厘,null,null
2,10229_10.jpg,980,330,93,1404114146,旧金山夕阳,sunset sanfancisco,美国,旧金山,null,null
3,10229_11.jpg,980,330,118,1404114155,西雅图夜景,"Seattle at night
",美国,西雅图,null,null
4,10229_12.jpg,490,732,163,1404114163,西雅图,Seattle,美国,西雅图,null,null
5,10229_13.jpg,1280,960,202,1404114170,江景,riverview,美国,西雅图,null,null
6,10229_14.jpg,1023,685,176,1404114176,别墅,Villa,美国,西雅图,null,null
7,10229_15.jpg,980,329,100,1404114198,纽约时代广场,New York Times Square,美国,纽约,null,null
8,10229_16.jpg,980,330,326,1404114205,纽约,New York,美国,纽约,null,null
9,10229_17.jpg,980,330,64,1404114228,华尔街路牌,Wall street,美国,纽约,null,null
10,10229_18.jpg,980,330,140,1404114234,华尔街广角,a road of wall street,美国,纽约,null,null
11,10229_19.jpg,980,330,85,1404114252,自由女神像,liberty statue,美国,纽约,null,null
12,10229_2.jpg,980,330,221,1404113849,新加坡,Singapore,新加坡,新加坡,null,null
13,10229_20.jpg,980,331,297,1404114272,百老汇,Broadway,美国,纽约,null,null
14,10229_21.jpg,980,330,159,1404114410,凯旋门,Triumphal Arch,法国,巴黎,null,null
15,10229_22.jpg,980,329,115,1404114520,罗浮宫,The Louvre,法国,巴黎,null,null
16,10229_23.jpg,1024,743,226,1404114582,金门大桥,Golden Gate Bridge,美国,旧金山,null,null
17,10229_24.jpg,1024,683,263,1404114655,凡尔赛宫,Palace of Versailles,法国,巴黎,null,null
18,10229_25.jpg,1024,683,226,1404114665,凡尔赛宫,Palace of Versailles,法国,巴黎,null,null
19,10229_26.jpg,980,330,297,1404114697,伦敦夜景,night of london,英国,伦敦,null,null
20,10229_27.jpg,980,330,216,1404114702,牛津街,Oxford Street,英国,伦敦,null,null
21,10229_28.jpg,980,330,113,1404114708,泰晤士河,Times river,英国,伦敦,null,null
22,10229_29.jpg,500,332,44,1404114718,建筑,Architecture,英国,伦敦,null,null
23,10229_3.jpg,980,330,205,1404113950,小印度,Little India,新加坡,新加坡,null,null
24,10229_30.jpg,500,500,105,1404114729,大笨钟,Big Ben,英国,伦敦,null,null
25,10229_4.jpg,500,375,46,1404113985,小印度,Little India,新加坡,新加坡,null,null
26,10229_5.jpg,800,600,111,1404113993,小印度,Little India,新加坡,新加坡,null,null
27,10229_6.jpg,980,330,201,1404114063,新加坡夜景,Singapore night,新加坡,新加坡,null,null
28,10229_7.jpg,1126,845,269,1404114021,牛车水,china town,新加坡,新加坡,null,null
29,10229_8.jpg,980,330,174,1404114048,旧金山小路,San Francisco path,美国,旧金山,null,null
30,10229_9.jpg,690,517,148,1404114074,旧金山旅游车,San Francisco tourist car,美国,旧金山,null,null
